measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Middle East & North Africa - WB,Male,20-54 years,All causes,Number,1992,170650.9383725839,182587.06501185035,159464.33859945377
Deaths,Middle East & North Africa - WB,Female,20-54 years,All causes,Number,1992,109111.73746806888,118558.85134573147,100656.5337453089
Deaths,Sub-Saharan Africa - WB,Male,<5 years,All causes,Number,1992,2118933.646067605,2248774.454429899,1988859.157679375
Deaths,Sub-Saharan Africa - WB,Female,<5 years,All causes,Number,1992,1823582.7415448234,1906111.77426222,1745040.5490419702
Deaths,Sub-Saharan Africa - WB,Male,5-19 years,All causes,Number,1992,196276.15521321766,209225.91684767758,182992.42946159636
Deaths,Sub-Saharan Africa - WB,Female,5-19 years,All causes,Number,1992,158348.04961733255,170973.12187541754,146369.0234635246
Deaths,Sub-Saharan Africa - WB,Male,55+ years,All causes,Number,1992,981186.2977656097,1041170.1158731628,927252.7117289788
Deaths,Sub-Saharan Africa - WB,Female,55+ years,All causes,Number,1992,797375.9119042192,833005.1585553947,759172.8529700438
Deaths,Sub-Saharan Africa - WB,Male,20-54 years,All causes,Number,1992,684038.2477554183,763264.8211471848,620676.4779566077
Deaths,Sub-Saharan Africa - WB,Female,20-54 years,All causes,Number,1992,612216.988363057,710225.3353417637,537798.1397529001
Deaths,East Asia & Pacific - WB,Male,<5 years,All causes,Number,1992,1178399.7710954363,1276931.2514888581,1082604.3573383174
Deaths,East Asia & Pacific - WB,Female,<5 years,All causes,Number,1992,972675.1842077269,1039808.3202203736,907896.8082413623
Deaths,East Asia & Pacific - WB,Male,5-19 years,All causes,Number,1992,280686.0974447403,296965.09902420896,264737.0436066439
Deaths,East Asia & Pacific - WB,Female,5-19 years,All causes,Number,1992,169641.73940403774,179593.74598744616,161410.2478743721
Deaths,East Asia & Pacific - WB,Male,55+ years,All causes,Number,1992,4317692.93912448,4729841.090727976,3942637.456037742
Deaths,East Asia & Pacific - WB,Female,55+ years,All causes,Number,1992,3903755.255659637,4191918.2185604037,3599357.0202096845
Deaths,East Asia & Pacific - WB,Male,20-54 years,All causes,Number,1992,1548195.714962324,1713818.0244537904,1403652.39369591
Deaths,East Asia & Pacific - WB,Female,20-54 years,All causes,Number,1992,916286.2460651567,1029301.7561479418,819865.1870916507
Deaths,Europe & Central Asia - WB,Male,<5 years,All causes,Number,1992,183885.47561884322,197360.78533205533,171599.13769600115
Deaths,Europe & Central Asia - WB,Female,<5 years,All causes,Number,1992,143147.64345712005,152068.70063798808,134795.9462548229
Deaths,Europe & Central Asia - WB,Male,5-19 years,All causes,Number,1992,68269.77391467502,69315.69656786583,67238.48332143677
Deaths,Europe & Central Asia - WB,Female,5-19 years,All causes,Number,1992,34702.73579761033,35222.7137988863,34226.103017502915
Deaths,Europe & Central Asia - WB,Male,55+ years,All causes,Number,1992,3299853.7058915053,3316848.0075102276,3282969.9888830804
Deaths,Europe & Central Asia - WB,Female,55+ years,All causes,Number,1992,3744339.4920321945,3758583.347434418,3730501.19674119
Deaths,Europe & Central Asia - WB,Male,20-54 years,All causes,Number,1992,916398.7034175649,922107.3965488775,910503.1908514154
Deaths,Europe & Central Asia - WB,Female,20-54 years,All causes,Number,1992,347005.3519372072,350224.20566955546,344152.7762775135
Deaths,North America,Male,<5 years,All causes,Number,1992,25209.67672035346,25429.591496179008,24993.07357048963
Deaths,North America,Female,<5 years,All causes,Number,1992,19336.409979419368,19528.894940360322,19136.4448858831
Deaths,North America,Male,5-19 years,All causes,Number,1992,17289.02365159463,17346.62550317938,17233.135948687825
Deaths,North America,Female,5-19 years,All causes,Number,1992,7595.915623304953,7624.02065435554,7567.8505973217225
Deaths,North America,Male,55+ years,All causes,Number,1992,966812.5156884481,969166.5671882515,964704.1342238918
Deaths,North America,Female,55+ years,All causes,Number,1992,1012347.8452863231,1014964.4261710796,1009875.8132817848
Deaths,North America,Male,20-54 years,All causes,Number,1992,216132.25780462773,216720.12913205096,215608.2254853632
Deaths,North America,Female,20-54 years,All causes,Number,1992,102442.18948732576,102831.22833147827,102078.08475379845
Deaths,East Asia & Pacific - WB,Male,<5 years,All causes,Number,1993,1118637.1841096713,1208341.4734113645,1032346.1329760939
Deaths,East Asia & Pacific - WB,Female,<5 years,All causes,Number,1993,919266.4339928533,983495.4887597967,859088.6860620328
Deaths,East Asia & Pacific - WB,Male,5-19 years,All causes,Number,1993,274593.0427090821,289517.9369764303,260477.00144151077
Deaths,East Asia & Pacific - WB,Female,5-19 years,All causes,Number,1993,164569.53492995625,173386.61693708604,157309.92145535382
Deaths,East Asia & Pacific - WB,Male,55+ years,All causes,Number,1993,4402389.194369115,4773361.724482622,4046589.3461041567
Deaths,East Asia & Pacific - WB,Female,55+ years,All causes,Number,1993,3974976.409775414,4246499.387077994,3692894.474537358
Deaths,East Asia & Pacific - WB,Male,20-54 years,All causes,Number,1993,1563729.2417349042,1711207.364653365,1429981.9492702244
Deaths,East Asia & Pacific - WB,Female,20-54 years,All causes,Number,1993,916584.30304118,1018178.8867996804,821772.5074259192
Deaths,Sub-Saharan Africa - WB,Male,<5 years,All causes,Number,1993,2138552.783631633,2268969.515874488,2010559.6762833043
Deaths,Sub-Saharan Africa - WB,Female,<5 years,All causes,Number,1993,1838989.9185800224,1919763.2154472736,1761721.2620138733
Deaths,Sub-Saharan Africa - WB,Male,5-19 years,All causes,Number,1993,201556.24268772977,214746.47177365344,188180.63812848952
Deaths,Sub-Saharan Africa - WB,Female,5-19 years,All causes,Number,1993,162279.2079247808,176594.87827135873,149982.45884473776
Deaths,Sub-Saharan Africa - WB,Male,55+ years,All causes,Number,1993,1008008.2488199391,1067701.904007633,953013.5577302288
Deaths,Sub-Saharan Africa - WB,Female,55+ years,All causes,Number,1993,815533.8817949868,851552.0560551278,779169.2189405878
Deaths,Sub-Saharan Africa - WB,Male,20-54 years,All causes,Number,1993,727865.3223792785,820789.8416623884,659793.9242315361
Deaths,Sub-Saharan Africa - WB,Female,20-54 years,All causes,Number,1993,656332.2831784424,776753.5976073658,568383.6170774554
Deaths,Latin America & Caribbean - WB,Male,<5 years,All causes,Number,1993,308466.32640572794,327883.7225315813,289662.8322072279
Deaths,Latin America & Caribbean - WB,Female,<5 years,All causes,Number,1993,248798.09573609606,261982.98762159626,236070.6562689116
Deaths,Latin America & Caribbean - WB,Male,5-19 years,All causes,Number,1993,72301.46189988604,73920.09249707939,70756.81889715166
Deaths,Latin America & Caribbean - WB,Female,5-19 years,All causes,Number,1993,40414.64333943762,41244.28449632436,39609.32617921454
Deaths,Latin America & Caribbean - WB,Male,55+ years,All causes,Number,1993,805240.6136400311,812981.1565474238,797594.8427980274
Deaths,Latin America & Caribbean - WB,Female,55+ years,All causes,Number,1993,707665.6882693219,713555.1095570895,701668.769068026
Deaths,Latin America & Caribbean - WB,Male,20-54 years,All causes,Number,1993,420113.43257838907,425291.07707941113,415153.4304291126
Deaths,Latin America & Caribbean - WB,Female,20-54 years,All causes,Number,1993,205667.7378448883,209870.83634858645,201748.17178496756
Deaths,South Asia - WB,Male,<5 years,All causes,Number,1993,1933462.7616229379,2113160.313019719,1768005.6982054275
Deaths,South Asia - WB,Female,<5 years,All causes,Number,1993,1883195.3539350692,2051638.6467397865,1726845.2196184513
Deaths,South Asia - WB,Male,5-19 years,All causes,Number,1993,371461.01473459596,389980.91627632134,353987.8000769093
Deaths,South Asia - WB,Female,5-19 years,All causes,Number,1993,408890.44746487186,426558.1121223639,391921.14529144746
Deaths,South Asia - WB,Male,55+ years,All causes,Number,1993,2486255.287265115,2632549.6965124267,2354410.033144922
Deaths,South Asia - WB,Female,55+ years,All causes,Number,1993,1981196.8578661673,2079917.3441330579,1893416.5155300887
Deaths,South Asia - WB,Male,20-54 years,All causes,Number,1993,1179444.1222476617,1256691.6624975663,1111235.6523728399
Deaths,South Asia - WB,Female,20-54 years,All causes,Number,1993,914474.8184661949,982578.4357893204,857414.0765298594
Deaths,Latin America & Caribbean - WB,Male,<5 years,All causes,Number,1992,321558.2491787817,341271.03597934474,302174.4950733146
Deaths,Latin America & Caribbean - WB,Female,<5 years,All causes,Number,1992,260210.9800880202,273983.98479445785,247664.75252030458
Deaths,Latin America & Caribbean - WB,Male,5-19 years,All causes,Number,1992,72636.02856677811,74310.81496136106,71137.36402983473
Deaths,Latin America & Caribbean - WB,Female,5-19 years,All causes,Number,1992,40856.10109225556,41669.35570169419,40091.71254928698
Deaths,Latin America & Caribbean - WB,Male,55+ years,All causes,Number,1992,778520.9414296801,785696.9764412845,771358.214077532
Deaths,Latin America & Caribbean - WB,Female,55+ years,All causes,Number,1992,683711.2832593882,689794.9617232201,678071.4411596457
Deaths,Latin America & Caribbean - WB,Male,20-54 years,All causes,Number,1992,408226.95773622306,412818.8862350602,403689.82439357997
Deaths,Latin America & Caribbean - WB,Female,20-54 years,All causes,Number,1992,200592.65249198573,204472.33955661496,196774.60299105154
Deaths,South Asia - WB,Male,<5 years,All causes,Number,1992,1985681.3074614184,2169981.7156042224,1816008.9704308524
Deaths,South Asia - WB,Female,<5 years,All causes,Number,1992,1936575.3563318932,2110313.758189704,1778712.7023150206
Deaths,South Asia - WB,Male,5-19 years,All causes,Number,1992,375409.04846588,393426.70294386713,358828.78199970414
Deaths,South Asia - WB,Female,5-19 years,All causes,Number,1992,417403.1211987145,436445.41558093735,399985.42072851193
Deaths,South Asia - WB,Male,55+ years,All causes,Number,1992,2458460.5913474597,2597559.297784701,2318401.8182209954
Deaths,South Asia - WB,Female,55+ years,All causes,Number,1992,1979275.4403431618,2071756.1843291246,1886453.2844118976
Deaths,South Asia - WB,Male,20-54 years,All causes,Number,1992,1170677.7141399574,1244762.4595978097,1096690.5070893203
Deaths,South Asia - WB,Female,20-54 years,All causes,Number,1992,931072.976466914,997119.0460775486,866770.6275813719
Deaths,North America,Male,<5 years,All causes,Number,1993,24422.73277258385,24643.813641827437,24200.60078388803
Deaths,North America,Female,<5 years,All causes,Number,1993,18817.306337244892,19006.713877347294,18623.369073149526
Deaths,North America,Male,5-19 years,All causes,Number,1993,17560.82217771951,17616.54976892959,17506.7241319872
Deaths,North America,Female,5-19 years,All causes,Number,1993,7786.840840268771,7816.144187903444,7756.052057365066
Deaths,North America,Male,55+ years,All causes,Number,1993,990587.8960219612,992853.8248524155,988389.1748537896
Deaths,North America,Female,55+ years,All causes,Number,1993,1048360.1432648787,1050959.9669958227,1045636.3626974358
Deaths,North America,Male,20-54 years,All causes,Number,1993,224631.32575726963,225237.4612463578,224071.49523702246
Deaths,North America,Female,20-54 years,All causes,Number,1993,106645.17814377605,107034.79307229213,106240.45509539385
Deaths,Europe & Central Asia - WB,Male,<5 years,All causes,Number,1993,175325.53726007935,187948.62305391874,163863.48037511882
Deaths,Europe & Central Asia - WB,Female,<5 years,All causes,Number,1993,136768.99667843932,145437.93455972476,129026.53993378326
Deaths,Europe & Central Asia - WB,Male,5-19 years,All causes,Number,1993,70616.33228409241,71686.92982830973,69589.85911579052
Deaths,Europe & Central Asia - WB,Female,5-19 years,All causes,Number,1993,36047.238806631955,36556.16724217506,35560.742331779365
Deaths,Europe & Central Asia - WB,Male,55+ years,All causes,Number,1993,3459105.8457999574,3477451.1021404727,3441600.0123464097
Deaths,Europe & Central Asia - WB,Female,55+ years,All causes,Number,1993,3900373.9670426934,3914142.237132881,3886399.0430267067
Deaths,Europe & Central Asia - WB,Male,20-54 years,All causes,Number,1993,1005840.0442687991,1011810.429441529,999757.98835425
Deaths,Europe & Central Asia - WB,Female,20-54 years,All causes,Number,1993,372432.4685018284,375631.56199962524,369398.44447021413
Deaths,Middle East & North Africa - WB,Male,<5 years,All causes,Number,1993,276946.90309912874,302182.9593295448,253875.949194409
Deaths,Middle East & North Africa - WB,Female,<5 years,All causes,Number,1993,243733.3487785392,261967.00498474197,226507.4423141542
Deaths,Middle East & North Africa - WB,Male,5-19 years,All causes,Number,1993,60752.809980593796,64490.075065,57305.3818285549
Deaths,Middle East & North Africa - WB,Female,5-19 years,All causes,Number,1993,39215.42514561203,41484.367557240315,36948.280188682664
Deaths,Middle East & North Africa - WB,Male,55+ years,All causes,Number,1993,429382.14407025254,450247.01757853746,409373.681415364
Deaths,Middle East & North Africa - WB,Female,55+ years,All causes,Number,1993,355345.67289454985,368731.616694014,343135.4247316583
Deaths,Middle East & North Africa - WB,Male,20-54 years,All causes,Number,1993,174797.9187452127,187534.9319178723,163355.00374298135
Deaths,Middle East & North Africa - WB,Female,20-54 years,All causes,Number,1993,111157.11121359788,120512.98618954683,102579.54030739542
Deaths,Latin America & Caribbean - WB,Male,<5 years,All causes,Number,1994,295418.34719062585,314635.18098485324,277529.00609428505
Deaths,Latin America & Caribbean - WB,Female,<5 years,All causes,Number,1994,237497.7286611722,250435.18352218752,225624.16239145995
Deaths,Latin America & Caribbean - WB,Male,5-19 years,All causes,Number,1994,72211.60472013846,73848.68292974097,70658.94175093029
Deaths,Latin America & Caribbean - WB,Female,5-19 years,All causes,Number,1994,40151.747309024046,40977.767098666896,39365.506848920195
Deaths,Latin America & Caribbean - WB,Male,55+ years,All causes,Number,1994,817182.1955976371,824537.1146495452,809741.8963195573
Deaths,Latin America & Caribbean - WB,Female,55+ years,All causes,Number,1994,723558.0955548037,730018.6203254816,717922.1208286411
Deaths,Latin America & Caribbean - WB,Male,20-54 years,All causes,Number,1994,428408.41516029724,433735.92943104246,423587.5612503299
Deaths,Latin America & Caribbean - WB,Female,20-54 years,All causes,Number,1994,209691.15731969543,214100.67405486666,205783.1320439022
Deaths,South Asia - WB,Male,<5 years,All causes,Number,1994,1887502.405331596,2076214.887344863,1720261.319198948
Deaths,South Asia - WB,Female,<5 years,All causes,Number,1994,1837787.5935204353,2009330.6589869424,1684626.6578399835
